"label"	"n"	"expected"	"Q"	"chisq"	"z"	"p.z"	"sig.z"
"Australia jealous"	6	0.2	0.003	162.996	12.767	0	TRUE
"Australia threatened"	3	0.1	0.001	81.498	9.028	0	TRUE
"Australia paranoid"	3	0.1	0.001	81.498	9.028	0	TRUE
"Australia other"	87	35.5	0.025	74.913	8.655	0	TRUE
"Ireland excuses"	2	0.1	0.001	58.388	7.641	0	TRUE
"Ireland coincidence"	2	0.1	0.001	58.388	7.641	0	TRUE
"Australia hypocrite"	2	0.1	0.001	54.332	7.371	0	TRUE
"Australia generalise"	2	0.1	0.001	54.332	7.371	0	TRUE
"Australia entitled"	2	0.1	0.001	54.332	7.371	0	TRUE
"Australia creepy"	2	0.1	0.001	54.332	7.371	0	TRUE
"Ireland agenda"	2	0.1	0.001	27.29	5.224	0	TRUE
"Australia agenda"	2	0.1	0.001	25.269	5.027	0	TRUE
"control Australia other"	436	498.4	0.038	7.821	2.797	0.003	FALSE
"control Ireland this"	14	7.7	0.003	5.228	2.287	0.011	FALSE
"control Australia would"	8	3.9	0.002	4.44	2.107	0.018	FALSE
"control Australia not"	8	3.9	0.002	4.44	2.107	0.018	FALSE
"control Ireland radio"	5	2.3	0.001	3.34	1.828	0.034	FALSE
"control Ireland could"	5	2.3	0.001	3.34	1.828	0.034	FALSE
"control Australia as"	6	2.9	0.001	3.33	1.825	0.034	FALSE
"control Australia this"	3	8.2	0.002	3.3	1.817	0.035	FALSE
"control Australia a"	29	20.7	0.004	3.282	1.812	0.035	FALSE
"control Australia which"	5	2.4	0.001	2.775	1.666	0.048	FALSE
"control Ireland years"	4	1.8	0.001	2.672	1.635	0.051	FALSE
"control Ireland ireland"	4	1.8	0.001	2.672	1.635	0.051	FALSE
"control Australia had"	4	1.9	0.001	2.22	1.49	0.068	FALSE
"control Ireland way"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland three"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland something"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland see"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland rt"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland race"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland probably"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland our"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland me"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland http"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland her"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland day"	3	1.4	0.001	2.004	1.416	0.078	FALSE
"control Ireland the"	75	64.1	0.005	1.871	1.368	0.086	FALSE
"control Australia things"	3	1.4	0.001	1.665	1.29	0.098	FALSE
"control Australia people"	3	1.4	0.001	1.665	1.29	0.098	FALSE
"control Australia like"	3	1.4	0.001	1.665	1.29	0.098	FALSE
"control Australia during"	3	1.4	0.001	1.665	1.29	0.098	FALSE
"control Australia between"	3	1.4	0.001	1.665	1.29	0.098	FALSE
"control Australia about"	3	1.4	0.001	1.665	1.29	0.098	FALSE
"control Australia we"	7	4.3	0.001	1.626	1.275	0.101	FALSE
"control Australia have"	10	6.8	0.002	1.559	1.248	0.106	FALSE
"control Ireland a"	14	19.4	0.003	1.501	1.225	0.11	FALSE
"control Australia for"	11	7.7	0.002	1.393	1.18	0.119	FALSE
"control Ireland year"	2	0.9	0.001	1.336	1.156	0.124	FALSE
"control Ireland who"	2	0.9	0.001	1.336	1.156	0.124	FALSE
"control Ireland various"	2	0.9	0.001	1.336	1.156	0.124	FALSE
"control Ireland then"	2	0.9	0.001	1.336	1.156	0.124	FALSE
"control Ireland still"	2	0.9	0.001	1.336	1.156	0.124	FALSE
"control Ireland short"	2	0.9	0.001	1.336	1.156	0.124	FALSE
