"label"	"n"	"expected"	"Q"	"chisq"	"z"	"p.z"	"sig.z"
"jealous"	6	0.4	0.003	78.694	8.871	0	TRUE
"paranoid"	4	0.3	0.002	52.463	7.243	0	TRUE
"agenda"	4	0.3	0.002	52.463	7.243	0	TRUE
"threatened"	3	0.2	0.001	39.347	6.273	0	TRUE
"other"	105	60.7	0.021	32.396	5.692	0	TRUE
"hypocrite"	2	0.1	0.001	26.231	5.122	0	TRUE
"hipster"	2	0.1	0.001	26.231	5.122	0	TRUE
"generalise"	2	0.1	0.001	26.231	5.122	0	TRUE
"excuses"	2	0.1	0.001	26.231	5.122	0	TRUE
"excited"	2	0.1	0.001	26.231	5.122	0	TRUE
"entitled"	2	0.1	0.001	26.231	5.122	0	TRUE
"creepy"	2	0.1	0.001	26.231	5.122	0	TRUE
"coincidence"	2	0.1	0.001	26.231	5.122	0	TRUE
"bitter"	2	0.1	0.001	26.231	5.122	0	TRUE
"biased"	2	0.1	0.001	26.231	5.122	0	TRUE
"control other"	808	852.3	0.035	2.306	1.519	0.064	FALSE
"control the"	142	132.6	0.005	0.672	0.82	0.206	FALSE
"control to"	63	58.8	0.002	0.298	0.546	0.293	FALSE
"control and"	58	54.1	0.002	0.274	0.524	0.3	FALSE
"control of"	48	44.8	0.002	0.227	0.476	0.317	FALSE
"control a"	43	40.1	0.001	0.203	0.451	0.326	FALSE
"control in"	34	31.7	0.001	0.161	0.401	0.344	FALSE
"control is"	31	28.9	0.001	0.147	0.383	0.351	FALSE
"control that"	28	26.1	0.001	0.132	0.364	0.358	FALSE
"control i"	25	23.3	0.001	0.118	0.344	0.365	FALSE
"control it"	24	22.4	0.001	0.114	0.337	0.368	FALSE
"control with"	18	16.8	0.001	0.085	0.292	0.385	FALSE
"control this"	17	15.9	0.001	0.08	0.284	0.388	FALSE
"control on"	16	14.9	0.001	0.076	0.275	0.392	FALSE
"control for"	16	14.9	0.001	0.076	0.275	0.392	FALSE
"control you"	14	13.1	0	0.066	0.257	0.398	FALSE
"control was"	14	13.1	0	0.066	0.257	0.398	FALSE
"control have"	14	13.1	0	0.066	0.257	0.398	FALSE
"control by"	14	13.1	0	0.066	0.257	0.398	FALSE
"control are"	14	13.1	0	0.066	0.257	0.398	FALSE
"control if"	12	11.2	0	0.057	0.238	0.406	FALSE
"control be"	12	11.2	0	0.057	0.238	0.406	FALSE
"control an"	11	10.3	0	0.052	0.228	0.41	FALSE
"control they"	10	9.3	0	0.047	0.217	0.414	FALSE
"control he"	10	9.3	0	0.047	0.217	0.414	FALSE
"control would"	9	8.4	0	0.043	0.206	0.418	FALSE
"control we"	9	8.4	0	0.043	0.206	0.418	FALSE
"control not"	9	8.4	0	0.043	0.206	0.418	FALSE
"control from"	9	8.4	0	0.043	0.206	0.418	FALSE
"control will"	8	7.5	0	0.038	0.195	0.423	FALSE
"control were"	8	7.5	0	0.038	0.195	0.423	FALSE
"control when"	7	6.5	0	0.033	0.182	0.428	FALSE
"control one"	7	6.5	0	0.033	0.182	0.428	FALSE
"control but"	7	6.5	0	0.033	0.182	0.428	FALSE
"control as"	7	6.5	0	0.033	0.182	0.428	FALSE
"control all"	7	6.5	0	0.033	0.182	0.428	FALSE
"control your"	6	5.6	0	0.028	0.168	0.433	FALSE
"control which"	6	5.6	0	0.028	0.168	0.433	FALSE
"control what"	6	5.6	0	0.028	0.168	0.433	FALSE
"control there"	6	5.6	0	0.028	0.168	0.433	FALSE
"control their"	6	5.6	0	0.028	0.168	0.433	FALSE
"control or"	6	5.6	0	0.028	0.168	0.433	FALSE
"control do"	6	5.6	0	0.028	0.168	0.433	FALSE
"control than"	5	4.7	0	0.024	0.154	0.439	FALSE
"control so"	5	4.7	0	0.024	0.154	0.439	FALSE
"control radio"	5	4.7	0	0.024	0.154	0.439	FALSE
"control over"	5	4.7	0	0.024	0.154	0.439	FALSE
"control only"	5	4.7	0	0.024	0.154	0.439	FALSE
"control my"	5	4.7	0	0.024	0.154	0.439	FALSE
"control just"	5	4.7	0	0.024	0.154	0.439	FALSE
"control its"	5	4.7	0	0.024	0.154	0.439	FALSE
"control has"	5	4.7	0	0.024	0.154	0.439	FALSE
